Player,Pos,Tm,Opp,Pred Pts,DK Salary,Pts/$
Brandon Bolden,RB,NE,BUF,1.991849851,3000,0.66394995
Fitzgerald Toussaint,RB,BAL,CLE,1.984730619,3000,0.661576873
Jacob Tamme,TE,DEN,OAK,1.975199488,3000,0.65839983
Mike James,RB,TB,NO,1.972489426,3000,0.657496475
Keshawn Martin,WR,HOU,JAC,1.964138678,3000,0.654712893
Joseph Fauria,TE,DET,GB,1.956814888,,
Jamize Olawale,RB,OAK,DEN,1.940380994,3000,0.646793665
Jonathan Dwyer,RB,ARI,SF,1.926946328,,
Clay Harbor,TE,JAC,HOU,1.902077356,3000,0.634025785
Frank Summers,RB,BUF,NE,1.867624861,,
Kyle Juszczyk,RB,BAL,CLE,1.818455283,3000,0.606151761
Josh Harris,RB,PIT,CIN,1.795523813,3000,0.598507938
Erik Lorig,RB,NO,TB,1.765264142,3000,0.588421381
George Winn,RB,DET,GB,1.762639332,3000,0.587546444
Jace Amaro,TE,NYJ,MIA,1.757911994,3000,0.585970665
Jay Prosch,RB,HOU,JAC,1.751429605,3000,0.583809868
Chris Ogbonnaya,RB,NYG,PHI,1.724254515,3000,0.574751505
Lorenzo Taliaferro,RB,BAL,CLE,1.604390462,,
Derrick Coleman,RB,SEA,STL,1.545367088,,
Virgil Green,TE,DEN,OAK,1.449169986,3000,0.483056662
Khiry Robinson,RB,NO,TB,1.369401474,3500,0.391257564
Matt Spaeth,TE,PIT,CIN,1.366711445,3000,0.455570482
Michael Hoomanawanui,TE,NE,BUF,1.362538992,3000,0.454179664
Jorvorskie Lane,RB,TB,NO,1.358965432,,
Stevan Ridley,RB,NE,BUF,1.357477161,,
Jeremy Stewart,RB,DEN,OAK,1.327458964,3000,0.442486322
James White,RB,NE,BUF,1.320708693,3000,0.440236231
Austin Seferian-Jenkins,TE,TB,NO,1.308479684,,
Montee Ball,RB,DEN,OAK,1.300089707,,
Ronnie Hillman,RB,DEN,OAK,1.30008564,5000,0.260017128
Brandon Myers,TE,TB,NO,1.297416755,3000,0.432472252
Zach Sudfeld,TE,NYJ,MIA,1.28940075,3000,0.42980025
Jed Collins,RB,DET,GB,1.287916536,3000,0.429305512
Knowshon Moreno,RB,MIA,NYJ,1.284732798,,
Cedric Peerman,RB,CIN,PIT,1.284212993,3000,0.428070998
Luke Stocker,TE,TB,NO,1.267683521,3000,0.422561174
James Develin,RB,NE,BUF,1.23952695,3000,0.41317565
Zac Stacy,RB,STL,SEA,1.18079388,3000,0.39359796
Henry Hynoski,RB,NYG,PHI,1.153402987,3000,0.384467662
Trey Watts,RB,STL,SEA,1.077897861,3000,0.359299287
Ahmad Bradshaw,RB,IND,TEN,1.071306135,,
Ray Agnew,RB,CLE,BAL,1.055902719,3000,0.351967573
Maurice Jones-Drew,RB,OAK,DEN,1.006342165,3000,0.335447388
Austin Johnson,RB,NO,TB,0.920523104,,
Edwin Baker,RB,NO,TB,0.920523104,,
Ben Tate,RB,MIN,CHI,0.910898676,3000,0.303632892
Alfonso Smith,RB,SF,ARI,0.869556163,3000,0.289852055
Tyler Clutts,RB,DAL,WAS,0.78594567,3000,0.26198189
Brian Leonard,RB,NO,TB,0.760466934,,
John Kuhn,RB,GB,DET,0.736530858,3000,0.245510286
DuJuan Harris,RB,GB,DET,0.726467688,3000,0.242155896
Adrian Peterson,RB,MIN,CHI,0.690401568,,
Antone Smith,RB,ATL,CAR,0.671865215,,
Patrick DiMarco,RB,ATL,CAR,0.63173374,3000,0.210577913
Jerome Felton,RB,MIN,CHI,0.503697723,3000,0.167899241
