Player,Pos,Tm,Opp,Pred Pts,DK Salary,Pts/$
John Carlson,TE,ARI,SF,4.530715681,3000,1.51023856
Jacquizz Rodgers,RB,ATL,CAR,4.530456425,3600,1.258460118
Benny Cunningham,RB,STL,SEA,4.526865525,3000,1.508955175
C.J. Fiedorowicz,TE,HOU,JAC,4.51528923,3000,1.50509641
Joe Morgan,WR,NO,TB,4.480892167,,
Marlon Brown,WR,BAL,CLE,4.423061386,3000,1.474353795
Brian Hartline,WR,MIA,NYJ,4.392690711,3000,1.464230237
Shonn Greene,RB,TEN,IND,4.352419791,3500,1.243548512
Marcedes Lewis,TE,JAC,HOU,4.346650582,3200,1.358328307
Taylor Gabriel,WR,CLE,BAL,4.330001861,3000,1.443333954
Mike Glennon,QB,TB,NO,4.283185232,5000,0.856637046
Josh Huff,WR,PHI,NYG,4.280588853,3000,1.426862951
Roy Helu,RB,WAS,DAL,4.267830459,3300,1.293281957
John Phillips,TE,SD,KC,4.234979493,3000,1.411659831
Mike Brown,WR,JAC,HOU,4.233046717,,
Ed Dickson,TE,CAR,ATL,4.187269346,3000,1.395756449
Santana Moss,WR,WAS,DAL,4.135391197,3000,1.378463732
Brice Butler,WR,OAK,DEN,4.122759055,3000,1.374253018
Jake Locker,QB,TEN,IND,4.120333907,,
Joe Banyard,RB,MIN,CHI,4.116129629,3000,1.37204321
Daniel Fells,TE,NYG,PHI,4.101062512,3000,1.367020837
Kerwynn Williams,RB,ARI,SF,4.097132297,3500,1.170609228
Joseph Randle,RB,DAL,WAS,4.086615664,4200,0.97300373
Matt Simms,QB,NYJ,MIA,4.0376616,5000,0.80753232
Austin Davis,QB,STL,SEA,4.036454665,5000,0.807290933
Kamar Aiken,WR,BAL,CLE,4.034218092,3000,1.344739364
Theo Riddick,RB,DET,GB,4.01408571,3000,1.33802857
Garrett Graham,TE,HOU,JAC,4.00578941,3000,1.335263137
Ben Watson,TE,NO,TB,3.961289336,3000,1.320429779
John Conner,RB,NYJ,MIA,3.957992655,3000,1.319330885
Jimmy Garoppolo,QB,NE,BUF,3.942793206,5000,0.788558641
Allen Robinson,WR,JAC,HOU,3.942690148,,
Kirk Cousins,QB,WAS,DAL,3.931941797,5200,0.756142653
Brent Celek,TE,PHI,NYG,3.899328505,3000,1.299776168
Demetrius Harris,TE,KC,SD,3.891075075,,
David Johnson,TE,SD,KC,3.891030162,3000,1.297010054
Julius Thomas,TE,DEN,OAK,3.886945746,4900,0.793254234
Junior Hemingway,WR,KC,SD,3.88412633,3000,1.294708777
Alfred Blue,RB,HOU,JAC,3.830332929,3000,1.276777643
Eric Ebron,TE,DET,GB,3.812783873,3000,1.270927958
Blaine Gabbert,QB,SF,ARI,3.789717764,5000,0.757943553
Brandon Williams,TE,CAR,ATL,3.787554792,3000,1.262518264
Fozzy Whittaker,RB,CAR,ATL,3.744660092,3000,1.248220031
Brandin Cooks,WR,NO,TB,3.714548016,,
Brenton Bersin,WR,CAR,ATL,3.712417962,3000,1.237472654
Tyler Eifert,TE,CIN,PIT,3.707805667,,
Robert Turbin,RB,SEA,STL,3.693140196,3000,1.231046732
Darren McFadden,RB,OAK,DEN,3.679667524,3000,1.226555841
Chase Coffman,TE,TEN,IND,3.677014691,3000,1.225671564
Matt McGloin,QB,OAK,DEN,3.640969161,5000,0.728193832
Trey Burton,TE,PHI,NYG,3.630181065,3000,1.210060355
Frankie Hammond,WR,KC,SD,3.575762972,,
Johnny Manziel,QB,CLE,BAL,3.569429904,5000,0.713885981
Richard Rodgers,TE,GB,DET,3.56046519,3000,1.18682173
Anthony Dixon,RB,BUF,NE,3.55145998,3000,1.183819993
EJ Manuel,QB,BUF,NE,3.52767644,5000,0.705535288
Griff Whalen,WR,IND,TEN,3.524069673,,
Bryce Brown,RB,BUF,NE,3.513094442,3000,1.171031481
Ryan Hewitt,TE,CIN,PIT,3.510446604,3000,1.170148868
Travis Benjamin,WR,CLE,BAL,3.490757768,3000,1.163585923
James Wright,WR,CIN,PIT,3.466090381,3000,1.15536346
Micheal Spurlock,WR,CHI,MIN,3.45552267,,
Santonio Holmes,WR,CHI,MIN,3.45552267,,
Bernard Pierce,RB,BAL,CLE,3.448101865,3000,1.149367288
Denard Robinson,RB,JAC,HOU,3.43454267,,
Brandon Tate,WR,CIN,PIT,3.429955921,3000,1.14331864
Josh Morgan,WR,CHI,MIN,3.390849222,3000,1.130283074
Chase Ford,TE,MIN,CHI,3.365332778,3000,1.121777593
Dwayne Allen,TE,IND,TEN,3.348825607,3500,0.956807316
Kevin Ogletree,WR,NYG,PHI,3.348192289,3000,1.116064097
Dane Sanzenbacher,WR,CIN,PIT,3.347515889,3000,1.11583863
Rishard Matthews,WR,MIA,NYJ,3.289686578,3000,1.096562193
Donnie Avery,WR,KC,SD,3.267397749,3000,1.089132583
Bilal Powell,RB,NYJ,MIA,3.260470843,3000,1.086823614
Troy Niklas,TE,ARI,SF,3.254988978,,
Tony Moeaki,TE,SEA,STL,3.243249277,3000,1.081083092
Juwan Thompson,RB,DEN,OAK,3.209564274,3000,1.069854758
Dwayne Harris,WR,DAL,WAS,3.206592776,3000,1.068864259
Devin Street,WR,DAL,WAS,3.206592776,3000,1.068864259
Anthony Fasano,TE,KC,SD,3.181812997,3000,1.060604332
Greg Little,WR,CIN,PIT,3.174095351,3000,1.058031784
James Casey,TE,PHI,NYG,3.168635118,3000,1.056211706
Brian Tyms,WR,NE,BUF,3.167536731,3000,1.055845577
Aaron Dobson,WR,NE,BUF,3.167536731,,
Garrett Celek,TE,SF,ARI,3.161028416,,
Andre Ellington,RB,ARI,SF,3.151764027,,
Tim Wright,TE,NE,BUF,3.141097003,3000,1.047032334
Jerick McKinnon,RB,MIN,CHI,3.139138285,,
Robert Meachem,WR,NO,TB,3.130262859,3000,1.043420953
Seyi Ajirotutu,WR,SD,KC,3.128824582,3000,1.042941527
Vincent Brown,WR,OAK,DEN,3.112634929,3000,1.037544976
Gary Barnidge,TE,CLE,BAL,3.057733893,3000,1.019244631
Lance Dunbar,RB,DAL,WAS,3.04902376,3600,0.846951045
Kevin Brock,TE,CIN,PIT,3.041730708,3000,1.013910236
David Nelson,WR,NYJ,MIA,3.035062264,,
Marcel Jensen,TE,JAC,HOU,3.03115324,,
Silas Redd,RB,WAS,DAL,3.015307076,3000,1.005102359
Dennis Pitta,TE,BAL,CLE,3.011697486,,
Jeff Janis,WR,GB,DET,2.975386855,3000,0.991795618
Kevin Dorsey,WR,GB,DET,2.975386855,,
Danny Woodhead,RB,SD,KC,2.968082727,,
Derek Carrier,TE,SF,ARI,2.964863268,,
Vance McDonald,TE,SF,ARI,2.964863268,,
Aldrick Robinson,WR,WAS,DAL,2.953801556,,
